timestamp,close,high,low,trade_count,open,volume,vwap
2023-01-03 05:00:00+00:00,125.07,130.9,124.17,1021067,130.28,124289279,125.660032
2023-01-04 05:00:00+00:00,126.36,128.6557,125.08,770045,126.89,95426133,126.643011
2023-01-05 05:00:00+00:00,125.02,127.77,124.76,665463,127.13,88344592,126.006961
2023-01-06 05:00:00+00:00,129.62,130.29,124.89,709888,126.01,96468673,128.362627
2023-01-09 05:00:00+00:00,130.15,133.41,129.89,645367,130.465,76653608,131.545593
2023-01-10 05:00:00+00:00,130.73,131.2636,128.12,554942,130.26,68415086,129.870967
2023-01-11 05:00:00+00:00,133.49,133.51,130.46,561280,131.25,77043246,132.422077
2023-01-12 05:00:00+00:00,133.41,134.26,131.44,635333,133.88,77698366,133.178793
2023-01-13 05:00:00+00:00,134.76,134.92,131.66,535781,132.03,63045132,133.76503
2023-01-17 05:00:00+00:00,135.94,137.29,134.13,595834,134.83,69852271,135.764039
2023-01-18 05:00:00+00:00,135.21,138.61,135.03,578306,136.815,76916867,136.262015
2023-01-19 05:00:00+00:00,135.27,136.25,133.77,491676,134.08,64511998,134.998543
2023-01-20 05:00:00+00:00,137.87,138.02,134.22,549630,135.28,95933363,136.459561
2023-01-23 05:00:00+00:00,141.11,143.315,137.9,719290,138.12,87527661,141.227955
2023-01-24 05:00:00+00:00,142.53,143.16,140.3,498681,140.305,70642466,142.124333
2023-01-25 05:00:00+00:00,141.86,142.43,138.81,536507,140.89,70336488,140.779785
2023-01-26 05:00:00+00:00,143.96,144.25,141.9,472137,143.17,59721341,143.395796
2023-01-27 05:00:00+00:00,145.93,147.23,143.08,558426,143.155,77521002,145.832562
2023-01-30 05:00:00+00:00,143.0,145.55,142.85,551112,144.955,69935435,143.608922
2023-01-31 05:00:00+00:00,144.29,144.34,142.28,468172,142.7,81087730,143.76925
2023-02-01 05:00:00+00:00,145.43,146.61,141.32,693377,143.97,84602426,143.961791
2023-02-02 05:00:00+00:00,150.82,151.18,148.17,996204,148.9,119288199,149.750531
2023-02-03 05:00:00+00:00,154.5,157.38,147.83,1138935,148.03,166049247,154.392541
2023-02-06 05:00:00+00:00,151.73,153.1,150.78,583521,152.575,75590203,152.006703
2023-02-07 05:00:00+00:00,154.65,155.23,150.64,661769,150.64,94067819,153.633427
2023-02-08 05:00:00+00:00,151.92,154.58,151.168,524143,153.88,72643990,152.316766
2023-02-09 05:00:00+00:00,150.87,154.33,150.42,471977,153.775,61868739,152.184661
2023-02-10 05:00:00+00:00,151.01,151.3401,149.22,442055,149.46,62500180,150.463505
2023-02-13 05:00:00+00:00,153.85,154.26,150.92,506670,150.952,70149328,153.291138
2023-02-14 05:00:00+00:00,153.2,153.77,150.86,528569,152.12,68556962,152.606935
2023-02-15 05:00:00+00:00,155.33,155.5,152.88,520577,153.11,70612239,154.572898
